Model,Test NDCG@20,Test Recall@20,Test F1,Avg Epoch Time (s),Peak VRAM (MB)
LightGCN,0.943000060057669,0.8749652743497326,0.4665757441457237,0.01948760747909546,2569.55322265625
GAT,0.9182781314693984,0.8699510768830893,0.3333333333333333,0.021340668201446533,3517.00439453125
GraphSAGE,0.9255977218319595,0.869085140211459,0.3333333333333333,0.002934861183166504,2587.57958984375
NCF,0.8963683145080847,0.858597520638354,0.6979391208645527,0.00970628261566162,4824.3583984375
